Family,Genus,Species
Carangidae,Carangoides,coeruleopinnatus
Carangidae,Carangoides,ferdau
Carangidae,Carangoides,oblongus
Carangidae,Carangoides,orthogrammus
Carangidae,Carangoides,plagiotaenia
Carangidae,Caranx,ignobilis
Carangidae,Caranx,lugubris
Carangidae,Caranx,melampygus
Carangidae,Caranx,papuensis
Carangidae,Caranx,sexfasciatus
Carangidae,Elagatis,bipinnulata
Carangidae,Scomberoides,lysan
Carangidae,Seriola,dumerili
Carangidae,Seriola,rivoliana
Serranidae,Epinephelus,fasciatus
Serranidae,Epinephelus,fuscoguttatus
Serranidae,Epinephelus,lanceolatus
Serranidae,Epinephelus,maculatus
Serranidae,Epinephelus,malabaricus
Labridae,Cheilinus,undulatus
Lethrinidae,Gymnocranius,griseus
Lethrinidae,Gymnocranius,microdon
Lethrinidae,Lethrinus,atkinsoni
Lethrinidae,Lethrinus,erythracanthus
Lethrinidae,Lethrinus,erythropterus
Lethrinidae,Lethrinus,nebulosus
Lethrinidae,Lethrinus,olivaceus
Lethrinidae,Lethrinus,rubrioperculatus
Lethrinidae,Lethrinus,semicinctus
Lethrinidae,Lethrinus,xanthochilus
Lethrinidae,Monotaxis,grandoculis
Lethrinidae,Monotaxis,heterodon
Lutjanidae,Aphareus,furca
Lutjanidae,Aprion,virescens
Lutjanidae,Lutjanus,bohar
Lutjanidae,Lutjanus,carponotatus
Lutjanidae,Lutjanus,decussatus
Lutjanidae,Lutjanus,ehrenbergii
Lutjanidae,Lutjanus,fulviflamma
Lutjanidae,Lutjanus,gibbus
Lutjanidae,Lutjanus,rivulatus
Lutjanidae,Symphorichthys,spilurus
Serranidae,Aethaloperca,rogaa
Serranidae,Cephalopholis,argus
Serranidae,Cephalopholis,miniata
Serranidae,Cephalopholis,polleni
Serranidae,Cephalopholis,sexmaculata
Serranidae,Gracila,albomarginata
Serranidae,Plectropomus,areolatus
Serranidae,Plectropomus,laevis
Serranidae,Plectropomus,leopardus
Serranidae,Plectropomus,oligacanthus
Serranidae,Pogonoperca,punctata
Serranidae,Variola,albimarginata
Serranidae,Variola,louti
